"","X1_train","X2_train","Y_train"
"370",1581,993,5
"371",1377,369,5
"372",670,70,5
"373",24,157,5
"374",1400,182,5
"375",1297,174,5
"376",735,428,5
"377",2921,110,5
"378",682,305,4
"379",278,44,5
"380",218,648,5
"381",2817,372,5
"382",2200,59,5
"383",984,253,5
"384",2242,241,5
"385",459,369,5
"386",2414,52,5
"387",114,734,5
"388",1168,715,2
"389",2110,307,5
"390",2865,185,5
"391",1126,51,5
"392",326,236,5
"393",713,214,5
"394",404,495,5
"395",575,61,5
"396",1203,36,5
"397",2322,208,5
"398",1022,222,4
"399",2221,350,5
"400",484,933,4
"401",2351,52,5
"402",465,157,5
"403",1507,394,5
"404",2750,250,5
"405",1332,110,5
"406",46,5,5
"407",2517,179,3
"408",1292,287,1
"409",2167,162,5
"410",2210,803,5
"411",2839,312,2
"412",124,327,4
"413",2878,157,4
"414",2513,769,5
"415",2577,294,2
"416",2867,432,5
"417",1273,349,2
"418",1135,432,5
"419",2885,234,5
"420",1523,269,5
"421",1642,378,3
"422",1340,363,5
"423",2514,592,5
"424",1155,551,5
"425",954,506,5
"426",1684,539,4
"427",1991,401,1
"428",2144,505,5
"429",2654,621,5
"430",2370,538,5
"431",1669,727,5
"432",2156,62,5
"433",1793,525,5
"434",2848,726,1
"435",595,313,4
"436",53,123,5
"437",1650,520,5
"438",846,372,5
"439",1233,41,1
"440",1364,10,5
"441",1908,56,1
"442",1841,27,5
"443",2706,40,4
"444",486,533,5
"445",2530,436,5
"446",861,509,5
"447",797,487,5
"448",670,179,4
"449",2271,300,5
"450",1001,788,5
"451",1001,755,5
"452",2196,370,4
"453",779,828,5
"454",251,42,5
"455",371,222,5
"456",1601,831,5
"457",1811,480,4
"458",923,52,4
"459",2290,520,5
"460",710,102,5
"461",830,745,4
"462",2245,283,4
"463",2516,398,5
"464",1615,59,4
"465",1350,228,5
"466",1102,305,5
"467",863,607,5
"468",84,177,4
"469",869,520,4
"470",2469,204,5
"471",2426,692,5
"472",2210,283,5
"473",2120,711,5
"474",2053,161,5
"475",1585,222,5
"476",2570,514,5
"477",295,854,5
"478",1736,616,5
"479",634,40,5
"480",1497,541,5
"481",2651,485,5
"482",2816,701,3
"483",1863,161,5
"484",2298,966,5
"485",2391,592,4
"486",2868,335,5
"487",2105,511,2
"488",595,236,5
"489",2063,761,5
"490",420,609,4
"491",1420,344,5
"492",1407,545,5
"493",2436,370,5
"494",1523,415,5
"495",42,737,5
"496",1209,265,5
"497",1542,223,5
"498",1185,92,5
"499",1224,15,5
"500",1977,989,5
"501",685,31,5
"502",2758,851,1
"503",916,605,5
"504",2635,11,4
"505",1689,142,5
"506",2824,455,4
"507",2856,361,5
"508",136,900,5
"509",599,25,5
"510",1932,42,5
"511",2403,593,5
"512",2714,25,4
"513",2376,253,5
"514",2591,939,5
"515",1007,559,3
"516",801,25,5
"517",678,157,4
"518",77,121,4
"519",1140,36,5
"520",163,140,5
"521",2988,694,5
"522",1169,223,5
"523",2036,772,4
"524",834,686,5
"525",4,390,5
"526",2519,327,5
"527",181,213,5
"528",1343,133,4
"529",147,222,5
"530",344,90,5
"531",1728,15,5
"532",606,562,5
"533",1084,973,5
"534",2115,461,5
"535",311,327,5
"536",2024,469,5
"537",1551,391,5
"538",2925,463,5
"539",428,285,5
"540",663,99,5
"541",230,629,1
"542",375,964,2
"543",1249,5,5
"544",1352,974,4
"545",540,25,4
"546",43,563,5
"547",2094,758,5
"548",594,378,5
"549",793,700,5
"550",2849,503,3
"551",1784,596,5
"552",2355,147,4
"553",1397,428,5
"554",271,837,5
"555",1263,992,5
"556",2206,236,4
"557",1800,11,1
"558",2780,665,4
"559",873,264,5
"560",1168,36,5
"561",918,181,5
"562",2676,354,5
"563",2920,43,4
"564",1062,44,5
"565",475,45,5
"566",301,157,5
"567",2433,760,5
"568",1601,686,5
"569",652,811,5
"570",34,8,1
"571",2178,976,5
"572",612,24,5
"573",914,520,5
"574",2674,404,4
"575",1157,926,4
"576",2574,52,5
"577",1128,196,5
"578",506,217,5
"579",2979,788,5
"580",1268,232,4
"581",27,223,5
"582",2558,241,5
"583",1344,11,5
"584",128,241,5
"585",2221,259,5
"586",769,307,5
"587",2916,466,5
"588",2627,122,5
"589",1364,206,5
"590",1639,84,5
"591",1957,133,5
"592",803,372,5
"593",1158,206,5
"594",626,77,5
"595",377,999,2
"596",674,259,5
"597",946,860,5
"598",2822,489,5
"599",2492,101,5
"600",1700,222,3
"601",130,455,5
"602",210,52,5
"603",789,286,5
"604",208,414,2
"605",955,175,4
"606",1078,259,1
"607",451,926,5
"608",1297,179,5
"609",387,305,5
"610",876,553,5
"611",377,417,4
"612",614,792,5
"613",44,77,5
"614",1265,734,4
"615",509,183,5
"616",648,237,5
"617",358,10,5
"618",2760,211,5
"619",1884,1,5
"620",342,209,5
"621",210,474,4
"622",835,744,5
"623",1825,9,5
"624",2238,52,5
"625",662,98,5
"626",2493,919,5
"627",1656,35,5
"628",1491,726,5
"629",1694,599,5
"630",1677,926,5
"631",1107,394,5
"632",2876,350,5
"633",2350,369,5
"634",664,133,4
"635",706,127,3
"636",2978,322,5
"637",192,225,5
"638",1253,685,5
"639",1503,416,5
"640",1943,638,3
"641",830,896,5
"642",1890,204,5
"643",359,147,5
"644",1695,409,5
"645",1065,307,5
"646",531,970,3
"647",646,274,5
"648",2063,189,5
"649",2272,947,5
"650",2340,3,5
"651",2015,555,5
"652",2361,313,5
"653",2409,253,5
"654",1643,211,5
"655",1999,129,5
"656",2151,687,5
"657",2727,222,5
"658",570,469,5
"659",1156,142,5
"660",1884,18,5
"661",2840,354,5
"662",2376,683,5
"663",1519,69,5
"664",808,10,5
"665",1703,6,5
"666",1719,147,5
"667",377,69,5
"668",2257,986,3
"669",1724,245,5
"670",1162,105,5
"671",1321,485,4
"672",2446,750,3
"673",368,272,5
"674",2366,826,5
"675",2181,350,5
"676",2876,293,4
"677",943,157,5
"678",1539,556,1
"679",2417,283,5
"680",1141,374,4
"681",984,21,5
"682",1057,980,5
"683",2481,123,5
"684",42,5,5
"685",482,196,5
"686",136,832,5
"687",2624,281,5
"688",304,728,1
"689",1233,649,3
"690",2420,133,5
"691",125,30,4
"692",1661,133,5
"693",260,148,5
"694",1519,830,3
"695",345,926,5
"696",2714,116,1
"697",2900,908,5
"698",1611,976,4
"699",2132,681,1
"700",801,294,5
"701",1651,525,5
"702",2418,123,5
"703",164,467,5
"704",472,361,5
"705",1600,136,5
"706",912,558,5
"707",897,126,4
"708",842,319,5
"709",1138,199,5
"710",730,546,5
"711",2192,555,5
"712",2048,233,5
"713",2325,294,5
"714",118,5,5
"715",656,419,4
"716",2021,183,5
"717",964,645,2
"718",2591,547,5
"719",2679,412,5
"720",250,252,4
"721",830,664,5
"722",617,281,3
"723",1614,233,5
"724",1404,792,4
"725",2294,541,4
"726",1426,170,5
"727",1759,297,5
"728",354,140,5
"729",40,397,5
"730",2921,88,5
"731",567,761,5
"732",2279,520,2
"733",1439,242,5
"734",2435,2,5
"735",113,588,5
"736",2092,7,5
"737",720,406,5
"738",1111,639,5
"739",170,16,1
"740",1224,775,5
"741",247,696,5
"742",1179,894,5
"743",1997,14,5
"744",2337,126,1
"745",2072,244,4
"746",2293,701,5
"747",523,463,5
"748",1334,80,5
"749",2491,842,3
"750",1055,122,5
"751",382,568,5
"752",1167,414,4
"753",2336,541,4
"754",1391,951,5
"755",2575,55,5
"756",1545,469,1
"757",1031,467,4
"758",478,189,5
"759",845,363,5
"760",2971,914,5
"761",2919,514,5
"762",1658,304,1
"763",1271,36,5
"764",2807,558,1
"765",2076,19,3
"766",1596,52,5
"767",1009,332,5
"768",1442,129,5
"769",1137,16,5
"770",1562,26,5
"771",2282,789,5
"772",67,696,5
"773",2248,411,5
"774",1662,435,4
"775",2971,220,5
"776",2274,194,5
"777",1938,947,5
"778",348,133,3
"779",2437,402,5
"780",2929,474,5
"781",645,183,5
"782",1476,226,5
"783",1451,88,5
"784",1278,133,5
"785",1037,196,5
"786",1214,3,5
"787",836,297,3
"788",2823,206,4
"789",1064,327,5
"790",1317,140,3
"791",179,645,5
"792",1863,96,5
"793",903,253,5
"794",1974,653,4
"795",584,560,5
"796",1520,959,5
"797",356,98,5
"798",2147,227,2
"799",1288,9,4
"800",1669,309,5
"801",1071,435,5
"802",2093,926,5
"803",1510,844,4
"804",1481,869,5
"805",574,939,5
"806",331,394,5
"807",2763,906,5
"808",269,466,5
"809",808,951,5
"810",2896,234,5
"811",276,123,5
"812",2628,995,5
"813",1207,105,4
"814",2457,307,5
"815",998,898,5
"816",2897,435,5
"817",1961,878,5
"818",86,313,5
"819",1103,12,5
"820",205,925,5
"821",2376,7,5
"822",2333,212,4
"823",18,122,5
"824",2933,313,5
"825",2549,204,5
"826",2115,249,5
"827",2496,211,5
"828",1141,225,5
"829",1435,434,5
"830",2795,214,5
"831",1246,859,5
"832",2637,704,2
"833",1411,26,5
"834",1717,45,5
"835",655,699,5
"836",1259,281,5
"837",2788,343,1
"838",363,380,5
"839",161,88,5
"840",2480,780,5
"841",895,108,5
"842",734,837,5
"843",2807,728,1
"844",847,224,5
"845",2267,775,4
"846",47,636,5
"847",359,327,5
"848",2346,893,2
"849",1854,97,1
"850",2707,189,5
"851",2361,123,5
"852",2932,189,5
"853",559,36,5
"854",2835,294,2
"855",844,73,5
"856",2537,245,5
"857",1958,147,5
"858",754,305,4
"859",2803,726,2
"860",647,473,5
"861",1086,416,4
"862",1595,282,5
"863",1525,71,4
"864",2036,313,4
"865",955,391,5
"866",1928,561,1
"867",1752,473,5
"868",469,458,5
"869",2196,189,4
"870",838,42,5
"871",155,484,5
"872",840,427,5
"873",2461,412,5
"874",1591,708,5
"875",2418,332,3
"876",1198,237,5
"877",2611,750,5
"878",1654,437,5
"879",397,247,5
"880",830,71,5
"881",1523,47,5
"882",1222,934,4
"883",2974,522,5
"884",2849,619,5
"885",2721,289,3
"886",1724,763,5
"887",1691,456,5
"888",271,406,3
"889",689,9,2
"890",1703,753,1
"891",2685,281,5
"892",2041,604,4
"893",24,133,5
"894",1602,561,5
"895",586,608,5
"896",377,624,5
"897",1710,70,5
"898",1889,736,5
"899",2133,80,5
"900",654,283,5
"901",1087,645,4
"902",2867,224,5
"903",243,728,5
"904",2503,801,5
"905",1485,588,5
"906",1886,195,5
"907",1765,780,5
"908",1518,639,5
"909",2089,40,5
"910",962,10,5
"911",610,300,4
"912",2730,274,5
"913",1266,349,5
"914",558,926,5
"915",2733,48,5
"916",1947,11,1
"917",2645,70,5
"918",2387,314,4
"919",10,19,5
"920",2961,332,5
"921",1904,768,3
"922",1972,245,5
"923",460,512,5
"924",1317,222,5
"925",1721,902,5
"926",2334,959,5
"927",1241,879,5
"928",1714,20,5
"929",2002,976,4
"930",74,294,4
"931",1805,480,5
"932",1750,934,5
"933",1825,280,5
"934",1045,652,5
"935",2318,157,4
"936",759,113,5
"937",2804,80,3
"938",1519,458,1
"939",2456,468,5
"940",810,193,5
"941",434,7,5
"942",217,77,5
"943",2409,85,5
"944",338,884,5
"945",1679,14,5
"946",1560,681,4
"947",2613,908,5
"948",1835,45,5
"949",2336,363,5
"950",2171,646,5
"951",795,262,4
"952",565,702,5
"953",2562,133,5
"954",244,917,4
"955",77,201,4
"956",2242,265,5
"957",1470,639,5
"958",2617,297,5
"959",2132,211,5
"960",1519,390,1
"961",297,223,5
"962",1946,379,5
"963",865,616,5
"964",2367,40,5
"965",998,18,5
"966",1278,193,5
"967",2656,622,5
"968",533,544,4
"969",1619,281,5
"970",1253,932,5
"971",2215,402,5
"972",437,66,1
"973",2261,123,5
"974",208,414,2
"975",305,196,5
"976",575,28,1
"977",1965,490,4
"978",2854,580,5
"979",1495,896,4
"980",364,129,5
"981",887,126,4
"982",2677,350,5
"983",565,668,4
"984",2731,179,5
"985",644,344,5
"986",1584,16,4
"987",1130,472,3
"988",1947,609,4
"989",1806,350,5
"990",2998,206,5
"991",2302,1000,3
"992",94,122,5
"993",1126,512,5
"994",189,71,5
"995",1938,80,5
"996",903,463,5
"997",1785,42,5
"998",1439,467,5
"999",1252,73,4
"1000",2590,994,4
"1001",2229,175,4
"1002",1515,740,2
"1003",1814,52,5
"1004",2962,313,4
"1005",1003,445,5
"1006",1892,23,4
"1007",399,479,5
"1008",2955,269,5
"1009",217,78,5
"1010",1652,166,5
"1011",2371,137,1
"1012",1731,38,5
"1013",1089,236,5
"1014",162,471,5
"1015",2708,185,5
"1016",64,6,5
"1017",801,909,5
"1018",540,266,5
"1019",1324,469,5
"1020",196,226,5
"1021",2392,145,4
"1022",995,756,5
"1023",316,687,5
"1024",866,92,5
"1025",2574,174,5
"1026",1647,616,5
"1027",1374,757,5
"1028",1774,677,5
"1029",79,88,1
"1030",523,618,5
"1031",678,77,5
"1032",762,223,2
"1033",508,189,5
"1034",2680,10,5
"1035",1926,278,5
"1036",2178,78,1
"1037",742,70,5
"1038",1790,468,5
"1039",2299,777,5
"1040",1784,246,5
"1041",2014,372,5
"1042",1045,185,5
"1043",2058,46,2
"1044",2435,561,3
"1045",1939,769,5
"1046",2002,244,5
"1047",2704,44,5
"1048",766,36,5
"1049",438,696,5
"1050",2126,750,5
"1051",1976,413,5
"1052",1088,270,5
"1053",2133,224,5
"1054",123,811,5
"1055",2951,697,5
"1056",1065,444,5
"1057",2381,174,5
"1058",449,831,5
"1059",2848,169,1
"1060",936,12,5
"1061",625,222,2
"1062",1235,678,3
"1063",943,587,5
"1064",407,120,4
"1065",1573,610,5
"1066",2457,757,5
"1067",962,591,2
"1068",2379,312,5
"1069",234,230,5
"1070",2189,128,5
"1071",2408,123,5
"1072",1905,24,5
"1073",568,549,4
"1074",578,319,5
"1075",505,907,4
"1076",1847,281,5
"1077",228,761,5
"1078",2100,46,4
"1079",29,193,4
"1080",2693,772,4
"1081",2772,582,5
"1082",1572,5,1
"1083",1121,103,5
"1084",1342,133,5
"1085",2763,341,5
"1086",217,18,5
"1087",387,23,5
"1088",324,183,5
"1089",584,72,5
"1090",1790,48,5
"1091",2739,741,5
"1092",233,541,3
"1093",550,563,5
"1094",2112,710,1
"1095",1383,566,5
"1096",204,958,5
"1097",1932,65,5
"1098",2544,133,5
"1099",2936,80,5
"1100",2026,281,5
"1101",2684,177,5
"1102",1661,411,4
"1103",850,69,3
"1104",268,473,5
"1105",1792,347,5
"1106",1772,980,5
"1107",2813,2,5
"1108",2829,223,5
"1109",472,231,5
"1110",2309,875,3
"1111",242,176,5
"1112",2658,281,5
"1113",681,146,5
"1114",281,12,5
"1115",182,687,5
"1116",53,587,5
"1117",2779,224,5
"1118",1809,319,1
"1119",2383,3,5
"1120",2876,354,4
"1121",619,189,5
"1122",1989,743,5
"1123",346,676,5
"1124",2465,466,5
"1125",1294,285,5
"1126",1403,3,5
"1127",2337,297,5
"1128",1061,263,1
"1129",2989,60,5
"1130",731,37,5
"1131",1799,449,3
"1132",1113,224,3
"1133",2502,879,5
"1134",1470,226,5
"1135",743,52,5
"1136",1749,863,5
"1137",184,971,5
"1138",2357,588,5
"1139",1738,391,3
"1140",169,26,5
"1141",2000,214,5
"1142",1207,238,5
"1143",1576,177,4
"1144",2554,669,5
"1145",1558,388,5
"1146",2820,109,5
"1147",2757,135,5
"1148",2012,55,5
"1149",64,179,5
"1150",765,361,5
"1151",1196,236,5
"1152",1941,129,5
"1153",2735,176,5
"1154",1018,181,5
"1155",2052,505,5
"1156",1565,176,4
"1157",236,992,2
"1158",2480,42,5
"1159",2032,4,3
"1160",1057,830,5
"1161",1374,335,5
"1162",1721,133,5
"1163",210,882,5
"1164",2496,701,5
"1165",670,65,5
"1166",2124,139,5
"1167",995,80,2
"1168",1188,226,5
"1169",1023,170,5
"1170",2893,520,4
"1171",321,394,4
"1172",45,786,4
"1173",2625,10,2
"1174",44,99,5
"1175",273,265,3
"1176",963,294,5
"1177",2909,701,5
"1178",1883,234,5
"1179",2189,101,5
"1180",307,149,5
"1181",380,350,3
"1182",302,563,5
"1183",420,30,5
"1184",1706,750,5
"1185",2764,332,5
"1186",2984,378,3
"1187",2224,34,4
"1188",1392,95,5
"1189",520,120,4
"1190",2192,92,5
"1191",1045,283,5
"1192",2580,159,5
"1193",1924,241,5
"1194",2461,373,2
"1195",581,245,5
"1196",1553,285,5
"1197",2138,976,5
"1198",2453,135,1
"1199",1130,98,5
"1200",2826,980,5
"1201",602,388,5
"1202",727,122,3
"1203",2608,80,4
"1204",88,39,5
"1205",2976,142,5
"1206",735,828,5
"1207",2799,784,4
"1208",710,801,3
"1209",106,284,5
"1210",2128,417,3
"1211",563,879,5
"1212",2494,263,4
"1213",746,189,5
"1214",2508,98,5
"1215",171,344,5
"1216",679,157,5
"1217",2896,52,5
"1218",409,175,5
"1219",2260,639,5
"1220",1862,458,5
"1221",2995,34,5
"1222",42,947,5
"1223",37,343,5
"1224",468,567,5
"1225",931,597,4
"1226",1375,189,5
"1227",2075,236,5
"1228",38,702,5
"1229",2711,51,5
"1230",234,560,5
"1231",319,183,5
"1232",1450,769,5
"1233",694,936,4
"1234",1523,8,5
"1235",447,561,5
"1236",821,702,5
"1237",2820,262,5
"1238",2042,156,5
"1239",1558,429,5
"1240",2992,449,4
"1241",2009,842,5
"1242",1746,183,5
"1243",2721,11,5
"1244",1579,16,5
"1245",677,135,5
"1246",950,281,5
"1247",906,204,5
"1248",1992,204,5
"1249",747,489,5
"1250",1990,77,5
"1251",2398,51,4
"1252",1414,251,3
"1253",466,227,2
"1254",382,806,5
"1255",655,293,5
"1256",663,561,4
"1257",1389,18,5
"1258",287,63,4
"1259",298,472,4
"1260",133,394,5
"1261",573,517,5
"1262",2530,241,5
"1263",2039,998,5
"1264",80,857,5
"1265",669,618,5
"1266",641,5,5
"1267",2696,185,5
"1268",703,106,5
"1269",676,285,5
"1270",1027,848,5
"1271",2942,170,5
"1272",1455,269,5
"1273",1948,772,5
"1274",757,431,3
"1275",2986,80,5
"1276",614,792,5
"1277",2649,339,5
"1278",2436,174,4
"1279",594,926,5
"1280",2409,293,5
"1281",187,174,2
"1282",1206,170,5
"1283",2773,236,5
"1284",2472,103,5
"1285",268,458,5
"1286",2742,221,5
"1287",949,615,5
"1288",2660,987,4
"1289",468,44,2
"1290",979,22,5
"1291",170,636,1
"1292",951,205,5
"1293",2090,52,5
"1294",635,520,4
"1295",1694,10,5
"1296",1013,11,3
"1297",2965,124,4
"1298",1490,652,5
"1299",875,329,5
"1300",1443,222,5
"1301",2801,168,5
"1302",247,540,3
"1303",2837,390,4
"1304",2469,350,5
"1305",862,179,5
"1306",2838,970,5
"1307",2661,280,5
"1308",1672,604,5
"1309",1561,5,5
"1310",636,133,5
"1311",922,801,4
"1312",2520,64,5
"1313",421,584,5
"1314",2547,226,5
"1315",1586,293,5
"1316",736,650,5
"1317",2692,189,5
"1318",960,220,5
"1319",1834,52,5
"1320",2676,789,4
"1321",615,388,5
"1322",1004,35,4
"1323",1139,526,5
"1324",558,332,5
"1325",285,157,5
"1326",1205,618,5
"1327",613,4,1
"1328",1416,593,5
"1329",1459,5,5
"1330",1314,272,5
"1331",2315,811,5
"1332",2897,86,1
"1333",2487,610,5
"1334",1511,12,4
"1335",384,118,2
"1336",1907,266,4
"1337",2711,43,5
"1338",710,5,5
"1339",2737,177,3
"1340",243,512,5
"1341",1991,317,5
"1342",1780,744,5
"1343",1387,30,5
"1344",2423,350,5
"1345",296,94,5
"1346",2120,10,5
"1347",404,996,5
"1348",544,157,5
"1349",2394,331,5
"1350",1001,33,5
"1351",1310,522,5
"1352",1415,52,5
"1353",686,361,5
"1354",2259,3,5
"1355",2929,563,5
"1356",2144,699,3
"1357",2432,511,5
"1358",2833,539,5
"1359",791,305,5
"1360",1914,15,5
"1361",1134,594,5
"1362",1236,534,2
"1363",2699,99,5
"1364",2530,445,5
"1365",1097,44,4
"1366",343,126,5
"1367",1480,222,4
"1368",2102,165,5
"1369",1077,667,3
"1370",569,532,5
"1371",254,505,5
"1372",41,309,4
"1373",2561,541,4
"1374",570,445,5
"1375",633,876,5
"1376",624,20,5
"1377",2891,15,5
"1378",1935,527,5
"1379",1136,32,5
"1380",1070,989,5
"1381",2747,727,5
"1382",1955,237,5
"1383",1544,322,3
"1384",369,460,2
"1385",978,526,5
"1386",906,378,5
"1387",1583,2,5
"1388",1315,697,5
"1389",1594,5,5
"1390",226,137,1
"1391",1384,170,5
"1392",2725,11,3
"1393",929,32,5
"1394",1248,181,5
"1395",1073,7,3
"1396",1345,542,5
"1397",2045,485,5
"1398",1365,901,5
"1399",369,317,4
"1400",1123,959,5
"1401",2389,374,5
"1402",367,844,5
"1403",2172,428,3
"1404",2971,526,5
"1405",1258,133,4
